"rankng of move
","move name
",Year,votes,RATNG,certfcate,runtme,genre,metascore,"DETAL ABOUT MOVE
","DRECTOR
","ACTOR 1
","ACTOR 2
",ACTOR 3,ACTOR 4,"GROSS COLLECTON
"
27,Lfe s Beautful,1997,679930,8.6,PG,116 mn,"Comedy, Drama, Romance",59,"When an open-mnded Jewsh water and hs son become vctms of the Holocaust, he uses a perfect mxture of wll, humor, and magnaton to protect hs son from the dangers around ther camp.",Roberto Bengn,Roberto Bengn,Ncoletta Brasch,Gorgo Cantarn,Gustno Durano,$57.60M
28,Seven,1995,1598334,8.6,18,127 mn,"Crme, Drama, Mystery",65,"Two detectves, a rooke and a veteran, hunt a seral kller who uses the seven deadly sns as hs motves.",Davd Fncher,Morgan Freeman,Brad Ptt,Kevn Spacey,Andrew Kevn Walker,$100.13M
29,Termnator 2: Judgment Day,1991,1073997,8.6,15,137 mn,"Acton, Sc-F",75,"A cyborg, dentcal to the one who faled to kll Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",James Cameron,Arnold Schwarzenegger,Lnda Hamlton,Edward Furlong,Robert Patrck,$204.84M
30,The Slence of the Lambs,1991,1393581,8.6,18,118 mn,"Crme, Drama, Thrller",85,"A young F.B.. cadet must receve the help of an ncarcerated and manpulatve cannbal kller to help catch another seral kller, a madman who skns hs vctms.",Jonathan Demme,Jode Foster,Anthony Hopkns,Lawrence A. Bonney,Kas Lemmons,$130.74M
31,Star Wars,1977,1332341,8.6,U,121 mn,"Acton, Adventure, Fantasy",90,"Luke Skywalker jons forces wth a Jed Knght, a cocky plot, a Wookee and two drods to save the galaxy from the Empre's world-destroyng battle staton, whle also attemptng to rescue Prncess Lea from the mysterous Darth Vader.",George Lucas,Mark Hamll,Harrson Ford,Carre Fsher,Alec Gunness,$322.74M
32,Harakr,1962,54658,8.6,X,133 mn,"Acton, Drama, Mystery",85,"When a ronn requestng seppuku at a feudal lord's palace s told of the brutal sucde of another ronn who prevously vsted, he reveals how ther pasts are ntertwned - and n dong so challenges the clan's ntegrty.",Masak Kobayash,Tatsuya Nakada,Akra shhama,Shma washta,Tetsurô Tanba,
33,Seven Samura,1954,340610,8.6,A,207 mn,"Acton, Drama",98,"""A veteran samura, gathers sx samuras to protect a vllage from the cruel bandts. As the samuras teach the natves how to defend themselves, the vllage s attacked by a pack of 40 bandts.",Akra Kurosawa,Toshrô Mfune,Takash Shmura,Keko Tsushma,Yukko Shmazak,$0.27M
34,t's a Wonderful Lfe,1946,447135,8.6,U,130 mn,"Drama, Famly, Fantasy",89,An angel s sent from Heaven to help a desperately frustrated busnessman by showng hm what lfe would have been lke f he had never exsted.,Frank Capra,James Stewart,Donna Reed,Lonel Barrymore,Thomas Mtchell,
35,Asuran,2019,26935,8.5,12A,141 mn,"Acton, Drama",,"The teenage son of a farmer from an underprvleged caste klls a rch, upper caste landlord. Wll the farmer, a lovng father and a pacfst by heart, be able to save hs hot-blooded son s the rest of the story.",Vetrmaaran,Dhanush,Manju Warrer,Prakash Raj,Pasupathy,
36,Paraste,2019,753815,8.5,15,132 mn,"Comedy, Drama, Thrller",96,Greed and class dscrmnaton threaten the newly formed symbotc relatonshp between the wealthy Park famly and the desttute Km clan.,Bong Joon Ho,Song Kang-ho,Sun-kyun Lee,Cho Yeo-jeong,Cho Woo-sk,$53.37M
37,Whplash,2014,817783,8.5,15,106 mn,"Drama, Musc",88,A promsng young drummer enrolls at a cut-throat musc conservatory where hs dreams of greatness are mentored by an nstructor who wll stop at nothng to realze a student's potental.,Damen Chazelle,Mles Teller,J.K. Smmons,Melssa Benost,Paul Reser,$13.09M
38,Untouchable,2011,836550,8.5,15,112 mn,"Bography, Comedy, Drama",57,"After he becomes a quadrplegc from a paragldng accdent, an arstocrat hres a young man from the projects to be hs caregver.",Olver Nakache,Érc Toledano,Franços Cluzet,Omar Sy,Anne Le Ny,$13.18M
39,K.G.F: Chapter 2,2022,109453,8.5,15,168 mn,"Acton, Crme, Drama",,"n the blood-soaked Kolar Gold Felds, Rocky's name strkes fear nto hs foes. Whle hs alles look up to hm, the government sees hm as a threat to law and order. Rocky must battle threats from all sdes for unchallenged supremacy.",Prashanth Neel,Yash,Sanjay Dutt,Raveena Tandon,Srndh Shetty,
40,Sardar Udham,2021,39965,8.5,UA 13+,164 mn,"Bography, Crme, Drama",,A bopc detalng the 2 decades that Punjab Skh revolutonary Udham Sngh spent plannng the assassnaton of the man responsble for the Jallanwala Bagh massacre.,Shoojt Srcar,Vcky Kaushal,Shaun Scott,Stephen Hogan,Amol Parashar,
41,The Prestge,2006,1300776,8.5,12A,130 mn,"Drama, Mystery, Sc-F",66,"After a tragc accdent, two stage magcans n 1890s London engage n a battle to create the ultmate lluson whle sacrfcng everythng they have to outwt each other.",Chrstopher Nolan,Chrstan Bale,Hugh Jackman,Scarlett Johansson,Mchael Cane,$53.09M
42,The Departed,2006,1293859,8.5,18,151 mn,"Crme, Drama, Thrller",85,An undercover cop and a mole n the polce attempt to dentfy each other whle nfltratng an rsh gang n South Boston.,Martn Scorsese,Leonardo DCapro,Matt Damon,Jack Ncholson,Mark Wahlberg,$132.38M
43,The Panst,2002,810102,8.5,15,150 mn,"Bography, Drama, Musc",85,A Polsh Jewsh muscan struggles to survve the destructon of the Warsaw ghetto of World War .,Roman Polansk,Adren Brody,Thomas Kretschmann,Frank Fnlay,Emla Fox,$32.57M
44,Gladator,2000,1462476,8.5,15,155 mn,"Acton, Adventure, Drama",67,A former Roman General sets out to exact vengeance aganst the corrupt emperor who murdered hs famly and sent hm nto slavery.,Rdley Scott,Russell Crowe,Joaqun Phoenx,Conne Nelsen,Olver Reed,$187.71M
45,Amercan Hstory X,1998,1101298,8.5,18,119 mn,"Crme, Drama",62,A former neo-naz sknhead tres to prevent hs younger brother from gong down the same wrong path that he dd.,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennfer Len,$6.72M
46,The Usual Suspects,1995,1065395,8.5,18,106 mn,"Crme, Drama, Mystery",77,"A sole survvor tells of the twsty events leadng up to a horrfc gun battle on a boat, whch began when fve crmnals met at a seemngly random polce lneup.",Bryan Snger,Kevn Spacey,Gabrel Byrne,Chazz Palmnter,Stephen Baldwn,$23.34M
47,Leon,1994,1133091,8.5,18,110 mn,"Acton, Crme, Drama",64,"12-year-old Mathlda s reluctantly taken n by Léon, a professonal assassn, after her famly s murdered. An unusual relatonshp forms as she becomes hs protégée and learns the assassn's trade.",Luc Besson,Jean Reno,Gary Oldman,Natale Portman,Danny Aello,$19.50M
48,The Lon Kng,1994,1031212,8.5,U,88 mn,"Anmaton, Adventure, Drama",88,"Lon prnce Smba and hs father are targeted by hs btter uncle, who wants to ascend the throne hmself.",Roger Allers,Rob Mnkoff,Matthew Broderck,Jeremy rons,James Earl Jones,$422.78M
49,Cnema Paradso,1988,255977,8.5,PG,155 mn,"Drama, Romance",80,A flmmaker recalls hs chldhood when fallng n love wth the pctures at the cnema of hs home vllage and forms a deep frendshp wth the cnema's projectonst.,Guseppe Tornatore,Phlppe Noret,Enzo Cannavale,Antonella Attl,sa Danel,$11.99M
50,Grave of the Frefles,1988,269013,8.5,12A,89 mn,"Anmaton, Drama, War",94,A young boy and hs lttle sster struggle to survve n Japan durng World War .,sao Takahata,Tsutomu Tatsum,Ayano Shrash,Akem Yamaguch,Yoshko Shnohara,
51,Back to the Future,1985,1168856,8.5,PG,116 mn,"Adventure, Comedy, Sc-F",87,"Marty McFly, a 17-year-old hgh school student, s accdentally sent thrty years nto the past n a tme-travelng DeLorean nvented by hs close frend, the eccentrc scentst Doc Brown.",Robert Zemecks,Mchael J. Fox,Chrstopher Lloyd,Lea Thompson,Crspn Glover,$210.61M
52,Apocalypse Now,1979,654463,8.5,X,147 mn,"Drama, Mystery, War",94,A U.S. Army offcer servng n Vetnam s tasked wth assassnatng a renegade Specal Forces Colonel who sees hmself as a god.,Francs Ford Coppola,Martn Sheen,Marlon Brando,Robert Duvall,Frederc Forrest,$83.47M
53,Alen,1979,859025,8.5,X,117 mn,"Horror, Sc-F",89,The crew of a commercal spacecraft encounter a deadly lfeform after nvestgatng an unknown transmsson.,Rdley Scott,Sgourney Weaver,Tom Skerrtt,John Hurt,Veronca Cartwrght,$78.90M
54,Once Upon a Tme n the West,1968,324579,8.5,AA,165 mn,Western,80,A mysterous stranger wth a harmonca jons forces wth a notorous desperado to protect a beautful wdow from a ruthless assassn workng for the ralroad.,Sergo Leone,Henry Fonda,Charles Bronson,Clauda Cardnale,Jason Robards,$5.32M
55,Psycho,1960,656848,8.5,15,109 mn,"Horror, Mystery, Thrller",97,"A Phoenx secretary embezzles $40,000 from her employer's clent, goes on the run, and checks nto a remote motel run by a young man under the domnaton of hs mother.",Alfred Htchcock,Anthony Perkns,Janet Legh,Vera Mles,John Gavn,$32.00M
56,Rear Wndow,1954,482791,8.5,A,112 mn,"Mystery, Thrller",100,"A wheelchar-bound photographer spes on hs neghbors from hs Greenwch Vllage courtyard apartment wndow, and becomes convnced one of them has commtted murder, despte the skeptcsm of hs fashon-model grlfrend.",Alfred Htchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Rtter,$36.76M
57,Casablanca,1942,562032,8.5,U,102 mn,"Drama, Romance, War",100,A cyncal expatrate Amercan cafe owner struggles to decde whether or not to help hs former lover and her fugtve husband escape the Nazs n French Morocco.,Mchael Curtz,Humphrey Bogart,ngrd Bergman,Paul Henred,Claude Rans,$1.02M
58,Modern Tmes,1936,238449,8.5,U,87 mn,"Comedy, Drama, Romance",96,The Tramp struggles to lve n modern ndustral socety wth the help of a young homeless woman.,Charles Chapln,Charles Chapln,Paulette Goddard,Henry Bergman,Tny Sandford,$0.16M
59,Cty Lghts,1931,182312,8.5,U,87 mn,"Comedy, Drama, Romance",99,"Wth the ad of a wealthy erratc tppler, a dewy-eyed tramp who has fallen n love wth a sghtless flower grl accumulates money to be able to help her medcally.",Charles Chapln,Charles Chapln,Vrgna Cherrll,Florence Lee,Harry Myers,$0.02M
60,Hamlton,2020,88965,8.4,12,160 mn,"Bography, Drama, Hstory",90,"The real lfe of one of Amerca's foremost foundng fathers and frst Secretary of the Treasury, Alexander Hamlton. Captured lve on Broadway from the Rchard Rodgers Theater wth the orgnal Broadway cast.",Thomas Kal,Ln-Manuel Mranda,Phllpa Soo,Lesle Odom Jr.,Renée Else Goldsberry,
61,Capernaum,2018,85804,8.4,15,126 mn,Drama,75,"Whle servng a fve-year sentence for a volent crme, a 12-year-old boy sues hs parents for neglect.",Nadne Labak,Zan Al Rafeea,Yordanos Shferaw,Boluwatfe Treasure Bankole,Kawsar Al Haddad,$1.66M
62,Joker,2019,1207441,8.4,15,122 mn,"Crme, Drama, Thrller",59,A mentally troubled stand-up comedan embarks on a downward spral that leads to the creaton of an conc vllan.,Todd Phllps,Joaqun Phoenx,Robert De Nro,Zaze Beetz,Frances Conroy,$335.45M
63,96,2018,29086,8.4,PG,158 mn,"Drama, Romance",,Two hgh school sweethearts meet at a reunon after 22 years and remnsce about ther past.,C. Prem Kumar,Vjay Sethupath,Adthya Bhaskar,Trsha Krshnan,Gour Kshan,
64,Your Name.,2016,254299,8.4,12A,106 mn,"Anmaton, Drama, Fantasy",79,"Two strangers fnd themselves lnked n a bzarre way. When a connecton forms, wll dstance be the only thng to keep them apart?",Makoto Shnka,Ryûnosuke Kamk,Mone Kamshrash,Ryô Narta,Ao Yûk,$5.02M
65,Spder-Man: nto the Spder-Verse,2018,498204,8.4,PG,117 mn,"Anmaton, Acton, Adventure",87,"Teen Mles Morales becomes the Spder-Man of hs unverse, and must jon wth fve spder-powered ndvduals from other dmensons to stop a threat for all realtes.",Bob Perschett,Peter Ramsey,Rodney Rothman,Shamek Moore,Jake Johnson,$190.24M
66,Avengers: Endgame,2019,1067806,8.4,12A,181 mn,"Acton, Adventure, Drama",78,"After the devastatng events of   2018 , the unverse s n runs. Wth the help of remanng alles, the Avengers assemble once more n order to reverse Thanos' actons and restore balance to the unverse.",Anthony Russo,Joe Russo,Robert Downey Jr.,Chrs Evans,Mark Ruffalo,$858.37M
67,Avengers: nfnty War,2018,1027286,8.4,12A,149 mn,"Acton, Adventure, Sc-F",68,The Avengers and ther alles must be wllng to sacrfce all n an attempt to defeat the powerful Thanos before hs bltz of devastaton and run puts an end to the unverse.,Anthony Russo,Joe Russo,Robert Downey Jr.,Chrs Hemsworth,Mark Ruffalo,$678.82M
68,Coco,2017,483043,8.4,PG,105 mn,"Anmaton, Adventure, Comedy",81,"Asprng muscan Mguel, confronted wth hs famly's ancestral ban on musc, enters the Land of the Dead to fnd hs great-great-grandfather, a legendary snger.",Lee Unkrch,Adran Molna,Anthony Gonzalez,Gael García Bernal,Benjamn Bratt,$209.73M
69,Django Unchaned,2012,1505535,8.4,18,165 mn,"Drama, Western",81,"Wth the help of a German bounty-hunter, a freed slave sets out to rescue hs wfe from a brutal plantaton-owner n Msssspp.",Quentn Tarantno,Jame Foxx,Chrstoph Waltz,Leonardo DCapro,Kerry Washngton,$162.81M
70,The Dark Knght Rses,2012,1662365,8.4,12A,164 mn,"Acton, Drama",78,"Eght years after the Joker's regn of anarchy, Batman, wth the help of the engmatc Catwoman, s forced from hs exle to save Gotham Cty from the brutal guerrlla terrorst Bane.",Chrstopher Nolan,Chrstan Bale,Tom Hardy,Anne Hathaway,Gary Oldman,$448.14M
71,Drshyam 2,2021,35266,8.4,12,152 mn,"Crme, Drama, Thrller",,A grppng tale of an nvestgaton and a famly whch s threatened by t. Wll Georgekutty be able to protect hs famly ths tme?,Jeethu Joseph,Mohanlal,Meena,Ansba,Esther Anl,
72,3 dots,2009,388873,8.4,12A,170 mn,"Comedy, Drama",67,"Two frends are searchng for ther long lost companon. They revst ther college days and recall the memores of ther frend who nspred them to thnk dfferently, even as the rest of the world called them ""dots"".",Rajkumar Hran,Aamr Khan,Madhavan,Mona Sngh,Sharman Josh,$6.53M
73,Shershaah,2021,117759,8.4,UA,135 mn,"Acton, Bography, Drama",,"The story of PVC awardee ndan solder Capt. Vkram Batra, who shot to fame and became a household name durng the Kargl War n 1999.",Vshnuvardhan,Sdharth Malhotra,Kara Advan,Shv Pandtt,Pranay Pachaur,
74,WALL·E,2008,1090345,8.4,U,98 mn,"Anmaton, Adventure, Famly",95,"n the dstant future, a small waste-collectng robot nadvertently embarks on a space journey that wll ultmately decde the fate of manknd.",Andrew Stanton,Ben Burtt,Elssa Knght,Jeff Garln,Fred Wllard,$223.81M
75,The Lves of Others,2006,384675,8.4,15,137 mn,"Drama, Mystery, Thrller",89,"n 1984 East Berln, an agent of the secret polce, conductng survellance on a wrter and hs lover, fnds hmself becomng ncreasngly absorbed by ther lves.",Floran Henckel von Donnersmarck,Ulrch Mühe,Martna Gedeck,Sebastan Koch,Ulrch Tukur,$11.29M
76,Oldboy,2003,565266,8.4,18,101 mn,"Acton, Drama, Mystery",77,"After beng kdnapped and mprsoned for ffteen years, Oh Dae-Su s released, only to fnd that he must fnd hs captor n fve days.",Park Chan-wook,Cho Mn-sk,Yoo J-Tae,Kang Hye-jeong,Km Byeong-Ok,$0.71M
77,Memento,2000,1212647,8.4,15,113 mn,"Mystery, Thrller",80,A man wth short-term memory loss attempts to track down hs wfe's murderer.,Chrstopher Nolan,Guy Pearce,Carre-Anne Moss,Joe Pantolano,Mark Boone Junor,$25.54M
78,Amercan Beauty,1999,1135911,8.4,18,122 mn,Drama,84,A sexually frustrated suburban father has a md-lfe crss after becomng nfatuated wth hs daughter's best frend.,Sam Mendes,Kevn Spacey,Annette Benng,Thora Brch,Wes Bentley,$130.10M
79,Prncess Mononoke,1997,384644,8.4,PG,134 mn,"Anmaton, Adventure, Fantasy",76,"On a journey to fnd the cure for a Tatargam's curse, Ashtaka fnds hmself n the mddle of a war between the forest gods and Tatara, a mnng colony. n ths quest he also meets San, the Mononoke Hme.",Hayao Myazak,Yôj Matsuda,Yurko shda,Yûko Tanaka,Blly Crudup,$2.38M
80,Braveheart,1995,1021071,8.4,15,178 mn,"Bography, Drama, Hstory",68,Scottsh warror Wllam Wallace leads hs countrymen n a rebellon to free hs homeland from the tyranny of Kng Edward  of England.,Mel Gbson,Mel Gbson,Sophe Marceau,Patrck McGoohan,Angus Macfadyen,$75.60M
81,Alens,1986,703019,8.4,U,137 mn,"Acton, Adventure, Sc-F",84,"Ffty-seven years after survvng an apocalyptc attack aboard her space vessel by mercless space creatures, Offcer Rpley awakens from hyper-sleep and tres to warn anyone who wll lsten about the predators.",James Cameron,Sgourney Weaver,Mchael Behn,Carre Henn,Paul Reser,$85.16M
82,Amadeus,1984,395117,8.4,PG,160 mn,"Bography, Drama, Musc",88,"The lfe, success and troubles of , as told by , the contemporaneous composer who was nsanely jealous of Mozart's talent and clamed to have murdered hm.",Mlos Forman,F. Murray Abraham,Tom Hulce,Elzabeth Berrdge,Roy Dotrce,$51.97M
83,Raders of the Lost Ark,1981,947846,8.4,A,115 mn,"Acton, Adventure",85,"n 1936, archaeologst and adventurer ndana Jones s hred by the U.S. government to fnd the Ark of the Covenant before 's Nazs can obtan ts awesome powers.",Steven Spelberg,Harrson Ford,Karen Allen,Paul Freeman,John Rhys-Daves,$248.16M
84,Das Boot,1981,247943,8.4,AA,149 mn,"Drama, War",86,"The claustrophobc world of a WWGerman U-boat; boredom, flth and sheer terror.",Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,$11.49M
85,The Shnng,1980,991472,8.4,15,146 mn,"Drama, Horror",66,"A famly heads to an solated hotel for the wnter where a snster presence nfluences the father nto volence, whle hs psychc son sees horrfc forebodngs from both past and future.",Stanley Kubrck,Jack Ncholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,$44.02M
86,Hgh and Low,1963,43400,8.4,12,143 mn,"Crme, Drama, Mystery",90,An executve of a Yokohama shoe company becomes a vctm of extorton when hs chauffeur's son s kdnapped by mstake and held for ransom.,Akra Kurosawa,Toshrô Mfune,Yutaka Sada,Tatsuya Nakada,Kyôko Kagawa,
87,Dr. Strangelove or: How  Learned to Stop Worryng and Love the Bomb,1964,482516,8.4,A,95 mn,"Comedy, War",97,"An nsane Amercan general orders a bombng attack on the Sovet Unon, trggerng a path to nuclear holocaust that a war room full of poltcans and generals frantcally tres to stop.",Stanley Kubrck,Peter Sellers,George C. Scott,Sterlng Hayden,Keenan Wynn,$0.28M
88,Wtness for the Prosecuton,1957,122776,8.4,U,116 mn,"Crme, Drama, Mystery",,A veteran Brtsh barrster must defend hs clent n a murder tral that has surprse after surprse.,Blly Wlder,Tyrone Power,Marlene Detrch,Charles Laughton,Elsa Lanchester,$8.18M
89,Paths of Glory,1957,194279,8.4,PG,88 mn,"Drama, War",90,"After refusng to attack an enemy poston, a general accuses the solders of cowardce and ther commandng offcer must defend them.",Stanley Kubrck,Krk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,
90,Sunset Blvd.,1950,218593,8.4,PG,110 mn,"Drama, Flm-Nor",,A screenwrter develops a dangerous relatonshp wth a faded flm star determned to make a trumphant return.,Blly Wlder,Wllam Holden,Glora Swanson,Erch von Strohem,Nancy Olson,
91,The Great Dctator,1940,221031,8.4,U,125 mn,"Comedy, Drama, War",,Dctator Adenod Hynkel tres to expand hs empre whle a poor Jewsh barber tres to avod persecuton from Hynkel's regme.,Charles Chapln,Charles Chapln,Paulette Goddard,Jack Oake,Regnald Gardner,$0.29M
92,Raatchasan,2018,40045,8.3,UA,170 mn,"Crme, Drama, Mystery",,A sub-nspector sets out n pursut of a mysterous seral kller who targets teen school grls and murders them brutally.,Ram Kumar,Vshnu Vshal,Amala Paul,Radha Rav,Sangl Murugan,
