id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,number_of_reviews_ltm,number_of_reviews,price,availability_365,minimum_nights,room_type,last_review,reviews_per_month,calculated_host_listings_count,,license
235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,83257,Olan,,Ward E (councilmember James Solomon),40.74168,-74.00339,0,86,110,296,30,Private room,1/18/2020,0.66,1,,
254245,Minutes to Manhattan and NJ Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71019,-74.06026,0,113,129,340,6,Entire home/apt,8/3/2020,0.88,2,,STR20-00055
260755,Tribeca Artist Loft 1000 sq/feet,1366070,Rad,,Ward E (councilmember James Solomon),40.71704,-74.00908,0,25,252,68,10,Entire home/apt,2/27/2016,0.2,1,,
262583,Landmark 2 Bedroom West Village NYC,605463,West Village,,Ward E (councilmember James Solomon),40.73219,-74.00289,26,224,315,160,4,Entire home/apt,5/28/2022,1.75,1,,
269266,Modern private 2 bedrooms apt minutes to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71266,-74.06329,31,396,114,276,2,Entire home/apt,5/29/2022,3.08,10,,
270245,Private room with own bathroom close to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71203,-74.06532,33,261,42,310,3,Private room,5/30/2022,2.04,10,,
271255,Large Room with private bathroom min to Manhattan,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71258,-74.06284,41,302,65,316,2,Private room,5/27/2022,2.44,10,,
274789,Private Bedroom/Bathroom in Hoboken - Close to NYC,292712,David,,Ward E (councilmember James Solomon),40.73604,-74.03758,0,15,122,51,3,Private room,10/22/2019,0.13,1,,
285549,"Stunning New 2BR Apt, 10 Min to NYC",1486294,Shira,,Ward D (councilmember Michael Yun),40.76697,-74.02658,24,176,225,327,4,Entire home/apt,6/14/2022,1.4,3,,
292800,"Sunny, Quiet West Village/Meatpacking 1BR Gem",1515730,Lauren,,Ward E (councilmember James Solomon),40.73431,-74.00225,1,115,235,238,90,Entire home/apt,4/10/2022,0.92,1,,
424870,"Charming Home, Best West Village St",2076206,Dan,,Ward E (councilmember James Solomon),40.73615,-74.00713,0,43,200,245,30,Entire home/apt,10/24/2016,0.45,1,,
435909,Sunny West Village Dream,2165401,Andrew,,Ward E (councilmember James Solomon),40.73553,-74.00418,0,19,151,32,88,Entire home/apt,12/24/2016,0.15,1,,
456190,"West Village Loft, 1st floor",2267864,Gary,,Ward E (councilmember James Solomon),40.73491,-74.0058,53,365,176,36,3,Entire home/apt,6/11/2022,3.01,1,,
467866,"Our NY home, Greenwich Village apt",2321870,David,,Ward E (councilmember James Solomon),40.73054,-74.00613,5,221,100,11,2,Private room,6/12/2022,1.81,1,,
508581,7 MIN TO MANHATTAN - LARGE APT,2506890,Zachary,,Ward E (councilmember James Solomon),40.71979,-74.04549,3,58,139,75,28,Entire home/apt,4/30/2022,0.48,1,,
532288,A Little West Village Charm,683230,Thomas,,Ward E (councilmember James Solomon),40.73328,-74.00069,4,111,225,227,30,Entire home/apt,12/30/2021,0.94,1,,
571251,Gorgeous! New 3BR 2BT 10 Min to NYC,1486294,Shira,,Ward D (councilmember Michael Yun),40.7689,-74.02871,26,186,339,305,4,Entire home/apt,6/11/2022,1.57,3,,
587740,Designer open space in TriBeCa Soho 1000sq ft,2899508,Tom & Jennifer,,Ward E (councilmember James Solomon),40.72215,-74.00416,3,18,165,239,30,Entire home/apt,5/28/2022,0.15,1,,
675483,Room & Private Bath~Minutes to NYC!,2259684,Leigh,,Ward E (councilmember James Solomon),40.72268,-74.04251,39,345,99,53,3,Private room,6/5/2022,2.91,1,,
698514,"SUNNY TOP FLOOR LOFT: Greenwich Village, NYC",3579116,Kristin,,Ward E (councilmember James Solomon),40.73124,-74.00374,4,9,275,0,30,Entire home/apt,5/31/2022,0.08,2,,
752289,Cozy Village apartment  near NYU,2285974,Cristiana,,Ward E (councilmember James Solomon),40.72734,-74.00094,6,17,200,251,4,Entire home/apt,11/4/2021,0.15,1,,
758919,Sexy in the City - Best Block in NY,3999634,Jonathan,,Ward E (councilmember James Solomon),40.73464,-74.00349,0,2,500,173,30,Entire home/apt,6/1/2013,0.02,1,,
783202,"Charming Apt off Bleecker, First Fl",4129805,Evelyn,,Ward E (councilmember James Solomon),40.73277,-74.00267,33,279,227,47,1,Entire home/apt,4/12/2022,2.4,6,,
789302,"THE NEST - Style, luxe & simplicity",1119998,Edoardo,,Ward E (councilmember James Solomon),40.74222,-74.00381,0,8,255,32,60,Entire home/apt,8/31/2017,0.07,1,,
810860,Spacious Studio minutes away from NYC,3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72832,-74.06308,3,4,100,192,28,Entire home/apt,1/31/2022,0.1,1,,
818075,Lovely Apartment - close to NYC,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.73889,-74.05091,21,140,95,265,3,Entire home/apt,5/26/2022,1.23,1,,
818084,Gorgeous sunny prime SoHo 1BR Apt.,128256,Annie+Dan,,Ward E (councilmember James Solomon),40.72823,-74.00126,0,92,299,307,30,Entire home/apt,10/11/2020,0.82,1,,
840594,Huge beautiful one bed West Village,4389865,Fiona,,Ward E (councilmember James Solomon),40.73095,-74.00657,2,9,375,320,30,Entire home/apt,12/20/2021,0.08,1,,
850712,Cute Studio Greenwich Village NYC,4442608,Mario,,Ward E (councilmember James Solomon),40.73063,-74.00037,4,25,120,1,30,Entire home/apt,5/14/2022,0.25,1,,
938292,New apt in downtown JC minutes away from Manhattan,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72371,-74.04931,3,12,83,193,29,Entire home/apt,1/16/2022,0.17,4,,
946048,Newly renovated small studio.  1 Month or more,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72319,-74.04842,2,21,65,128,29,Entire home/apt,5/31/2022,0.3,4,,
971427,Nice Apt -10 minutes to Manhattan,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.71839,-74.04522,29,270,128,117,5,Entire home/apt,5/31/2022,2.4,2,,
999984,Greenwich Village Townhouse Apt,5468033,Linda,,Ward E (councilmember James Solomon),40.73196,-74.00076,3,121,300,298,30,Entire home/apt,4/1/2022,1.09,1,,
1014258,Top floor apt w deck in Jersey City,5579774,Shannon,,Ward C (councilmember Richard Boggiano),40.73765,-74.04952,1,10,95,126,180,Entire home/apt,5/18/2022,0.11,1,,
1078017,1 bedroom in Hoboken close to PATH,5931428,Peter,,Ward E (councilmember James Solomon),40.73821,-74.03456,3,17,150,197,30,Entire home/apt,5/28/2022,0.17,1,,
1189378,Authentic Soho Loft (1200 sq ft),867249,Norwin,,Ward E (councilmember James Solomon),40.72118,-74.00567,36,208,292,39,2,Entire home/apt,5/22/2022,1.91,1,,
1276863,Luxury Waterfront Apartment,6949940,Beata,,Ward E (councilmember James Solomon),40.71355,-74.03374,0,145,135,196,60,Entire home/apt,9/13/2019,1.33,1,,
1280528,Fantastic room with private bathroom close NYC!,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71225,-74.06496,24,247,57,348,2,Private room,5/16/2022,2.26,10,,
1281257,1BR LUXURY PENTHOUSE MODERN CONDO,2577135,Elena,,Ward E (councilmember James Solomon),40.70779,-74.00805,0,19,275,168,30,Entire home/apt,10/20/2019,0.19,1,,
1411811,Charming Parlor Apt off Bleecker,4129805,Evelyn,,Ward E (councilmember James Solomon),40.731,-74.00346,37,219,264,50,1,Entire home/apt,4/10/2022,2.14,6,,
1530386,A Lovely 2br in Chelsea,8163133,Nikhil,,Ward E (councilmember James Solomon),40.7399,-74.0021,4,84,329,336,30,Entire home/apt,6/1/2022,0.88,1,,
1656539,"Safe townhouse suite, private bath, garden use",93790,Ann,,Ward E (councilmember James Solomon),40.72986,-74.00299,32,271,149,42,4,Private room,6/7/2022,2.55,2,,
1721115,"Financial District Oasis, Bright Summer Room",9072771,Kindra,,Ward F (councilmember Jermaine D. Robinson),40.70646,-74.00755,0,16,160,321,7,Private room,12/29/2020,0.16,2,,
1724731,Luxury apt share/meatpacking/chelse,9090698,G,,Ward E (councilmember James Solomon),40.74411,-74.00728,0,2,275,128,30,Entire home/apt,10/14/2016,0.02,2,,
1777007,Space For guest,3980927,Audemar,,Ward E (councilmember James Solomon),40.70948,-74.01564,18,246,55,337,1,Shared room,5/31/2022,2.39,1,,
1782872,Suite Spot in Tribeca,9358396,Anne,,Ward E (councilmember James Solomon),40.71632,-74.01077,2,24,192,111,30,Entire home/apt,10/28/2021,0.23,1,,
1897139,Luxury Furnished 1 Bedroom Apartment Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,0,20,329,312,27,Entire home/apt,8/26/2018,0.2,36,,
1897262,Modern 2 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,0,7,499,329,27,Entire home/apt,9/2/2017,0.09,36,,
2027194,Renovated Urban Oasis w/ private patio,10413011,Michael,,Ward E (councilmember James Solomon),40.73908,-74.03373,3,29,180,139,28,Entire home/apt,5/8/2022,1.3,1,,
2149271,"DWTN Jersey City Art Studio Apt, long term stays",10969148,Colby,,Ward E (councilmember James Solomon),40.72612,-74.04989,6,19,119,300,15,Entire home/apt,5/21/2022,0.29,1,,
2176306,"Dr Norton House@Lincoln Park JC,NJ",11099485,Stephen,,Ward B (councilmember Mira Prinz-Arey),40.71987,-74.07382,26,166,129,288,3,Entire home/apt,6/11/2022,1.66,1,,
2227861,"Cozy Private rm in Jersey City, mins to Manhattan",11369577,Mat,,Ward E (councilmember James Solomon),40.72509,-74.04261,3,12,89,42,1,Private room,6/5/2022,0.24,1,,
2243687,Modern 1 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,0,5,329,312,27,Entire home/apt,6/24/2016,0.05,36,,
2243736,Jersey City NJ | Luxury 2 Bedroom Apt w/ Amenities,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,0,6,459,334,27,Entire home/apt,1/1/2020,0.08,36,,
2284989,Historic Brownstone in Jersey City,11672367,Michelle & Michael,,Ward F (councilmember Jermaine D. Robinson),40.71962,-74.0737,0,4,150,291,2,Private room,7/20/2015,0.04,1,,
2291770,Luxury 2 BR/2BA 1310sq ft,3042398,Irina,,Ward E (councilmember James Solomon),40.73841,-74.0375,0,12,200,166,3,Entire home/apt,4/24/2016,0.14,1,,
2330961,New York City in 5 minutes,6228898,Carlos & Lizbeth,,Ward D (councilmember Michael Yun),40.76063,-74.02827,5,152,207,19,3,Private room,5/28/2022,1.55,1,,
2454507,Close to everything - Jr 1 bedroom,9991763,Andrew,,Ward E (councilmember James Solomon),40.70867,-74.00499,0,6,130,215,365,Entire home/apt,10/2/2016,0.06,1,,
2520640,NYC & Hudson River views (2 BR),12904260,Ramon,,Ward E (councilmember James Solomon),40.7149,-74.03435,1,5,225,0,28,Entire home/apt,10/15/2021,0.11,1,,
2574386,Luxury Apt - west village/Chelsea,9090698,G,,Ward E (councilmember James Solomon),40.74284,-74.00691,0,3,275,365,30,Entire home/apt,10/23/2019,0.03,2,,
2662979,Room with private bathroom min to Manhattan,1410590,Magda,,Ward E (councilmember James Solomon),40.72419,-74.05002,29,360,51,310,29,Private room,4/30/2022,3.62,10,,
2663502,Big room with private bathroom close to Manhatta,1410590,Magda,,Ward E (councilmember James Solomon),40.7243,-74.05055,35,379,57,239,29,Private room,5/30/2022,3.81,10,,
2835711,Sunny West Village Apartment on MacDougal Street,3237504,Aspen,,Ward E (councilmember James Solomon),40.73058,-74.0007,4,51,105,46,30,Entire home/apt,3/26/2022,0.52,1,,
2867497,Private room 201. 10 mins to NYC.,189095873,M,,Ward C (councilmember Richard Boggiano),40.73081,-74.06816,0,49,50,177,30,Private room,1/2/2020,0.51,2,,
2879634,Cute private apt + extras Jersey City (NYC area),14717157,Dana & Guy,,Ward F (councilmember Jermaine D. Robinson),40.71126,-74.06053,25,247,83,58,3,Entire home/apt,6/14/2022,2.86,1,,STR20-00090
2936054,October SPECIAL!! Enjoy the Holiday in NYC! Sale!,14990573,Raymond,,Ward E (councilmember James Solomon),40.70944,-74.0184,0,46,125,196,30,Entire home/apt,10/22/2017,0.47,1,,
2936192,Bright Quiet Room in the W Village,13908017,Kaytlin,,Ward E (councilmember James Solomon),40.72849,-74.00161,2,246,125,210,2,Private room,5/28/2022,2.82,1,,
3193538,Lrg Garden Studio w/Yard Min 30 Night Corp Rental,16186604,Edward,,Ward E (councilmember James Solomon),40.71492,-74.04007,1,204,115,288,30,Entire home/apt,4/22/2022,2.5,1,,
3272201,Gorgeous Chic Apt on Prime West Village Street,16545323,Katie,,Ward E (councilmember James Solomon),40.73469,-74.0087,0,14,220,172,30,Entire home/apt,11/6/2017,0.15,1,,
3283255,2. New York City!!! 15/20 Minutes Away.,9315100,Hermann,,Ward D (councilmember Michael Yun),40.76992,-74.03268,34,326,85,247,3,Entire home/apt,5/31/2022,3.35,2,,
3339399,west village 1BR!best value!,2119276,Eran,,Ward E (councilmember James Solomon),40.73203,-74.00676,2,18,165,146,30,Entire home/apt,4/3/2022,0.2,8,,
3487433,Waterfront Loft - 7 mins to NYC!,16038,Festive,,Ward E (councilmember James Solomon),40.71721,-74.03863,0,9,375,200,28,Entire home/apt,8/13/2018,0.11,1,,
3530517,2 Story Loft Tribeca/Soho Downtown Manhattan,17773625,Josie,,Ward E (councilmember James Solomon),40.71922,-74.00276,22,111,900,292,3,Entire home/apt,5/15/2022,1.17,1,,
3553768,"Serene, minimalist studio W Village",17891677,Arianna,,Ward E (councilmember James Solomon),40.73478,-74.00108,36,137,249,258,3,Entire home/apt,5/30/2022,1.45,1,,
3592755,"Luxury Condo 2B/2B, Hudson Rvr views! Indoor Pool!",4436607,Wang,,Ward E (councilmember James Solomon),40.73198,-74.03243,0,0,165,228,90,Entire home/apt,,,1,,
3655301,1st Floor Brownstone in Jersey City,18494549,Manuel,,Ward F (councilmember Jermaine D. Robinson),40.71869,-74.0675,6,388,69,304,29,Entire home/apt,5/27/2022,4.04,2,,
3674016,Downtown loft - steps to NYC! Downtown Jersey City,318287,Cindy,,Ward E (councilmember James Solomon),40.72764,-74.04105,25,140,176,354,1,Entire home/apt,6/10/2022,1.46,2,,
3747069,3 bedroom Le Beinvenue 5min walk to path train,2588186,Massimo,,Ward C (councilmember Richard Boggiano),40.73297,-74.06844,1,48,120,225,29,Entire home/apt,2/7/2022,0.52,1,,
3791244,west village 1BR!best value!,2119276,Eran,,Ward E (councilmember James Solomon),40.73368,-74.00797,4,23,170,237,30,Entire home/apt,3/25/2022,0.25,8,,
3803622,Cozy West Village apartment,19544909,Michelle,,Ward E (councilmember James Solomon),40.7132,-74.005,0,10,425,67,30,Entire home/apt,1/1/2017,0.12,1,,
3804690,Statue of Liberty Views Downtown,19550968,Silvia,,Ward E (councilmember James Solomon),40.71227,-74.01703,2,8,110,197,30,Entire home/apt,1/1/2022,0.08,1,,
3832863,1 Bedroom w/ huge Deck in West Village/SOHO,18094896,Wendy,,Ward E (councilmember James Solomon),40.72777,-74.00427,0,23,170,175,30,Entire home/apt,10/5/2019,0.24,1,,
3857337,Private Floor in Carriage House,15768941,Deb,,Ward E (councilmember James Solomon),40.74249,-74.02885,10,42,151,261,2,Private room,5/30/2022,0.45,1,,
3887785,"Only a few minutes from NYC, and SO MUCH CHEAPER!!",11473512,John,,Ward E (councilmember James Solomon),40.73857,-74.03898,30,153,143,66,1,Entire home/apt,5/31/2022,1.61,1,,
3891031,LAST DAY TO BOOK Bedroom on Wall St,20133610,Shi Qing,,Ward E (councilmember James Solomon),40.70778,-74.0048,0,13,139,365,365,Private room,7/15/2015,0.14,1,,
3895007,13 Mins ❤ of NYC Times Square!,4364533,Grateful,,Ward D (councilmember Michael Yun),40.77163,-74.03088,22,230,101,92,7,Entire home/apt,5/19/2022,2.42,13,,
3923264,"Lux Hoboken 1 Bedroom w/wifi, minutes from NYC",9419684,Churchill,,Ward E (councilmember James Solomon),40.740677,-74.02778,0,13,349,365,9,Entire home/apt,8/20/2018,0.14,36,,
3952881,Cozy 2 BR Apartment in North Bergen,20488277,Carina,,Ward D (councilmember Michael Yun),40.77768,-74.03908,30,266,131,132,2,Entire home/apt,6/11/2022,2.81,1,,
3957619,"Prime SoHo! shops, food, fun",12485770,Raanan,,Ward E (councilmember James Solomon),40.72553,-74.00226,0,5,110,0,30,Entire home/apt,11/2/2019,0.05,4,,
3968610,Charming apt in Greenwich Village!,20567256,Marina,,Ward E (councilmember James Solomon),40.72812,-74.00014,0,42,128,38,30,Entire home/apt,6/6/2021,0.46,1,,
3998977,5 Bdrm 2 bath TH triplex w garden,5162192,Amy,,Ward E (councilmember James Solomon),40.71363,-74.0063,1,1,400,91,30,Entire home/apt,8/16/2021,0.1,1,,
4007369,Charming Home (3bd/2ba)(6-8ppl),19341950,Roosevelt,,Ward B (councilmember Mira Prinz-Arey),40.71626,-74.08065,23,215,158,69,3,Entire home/apt,5/30/2022,2.34,1,,
4135395,Charming Downtown Hoboken APT close to NYC,1779791,Ariel,,Ward E (councilmember James Solomon),40.73911,-74.03111,53,222,209,291,2,Entire home/apt,6/5/2022,2.55,2,,
4141545,Great location! Long term rental,14154591,Chris,,Ward D (councilmember Michael Yun),40.76684,-74.02891,1,3,99,171,175,Entire home/apt,9/30/2021,0.17,1,,
4183424,Charming West Village 1 bdrm,9405848,Susie,,Ward E (councilmember James Solomon),40.7317,-74.00424,3,17,176,141,11,Entire home/apt,9/13/2021,0.25,1,,
4198514,Modern 3 Bdr with great Reviews,21781738,Robert,,Ward D (councilmember Michael Yun),40.75558,-74.04381,0,17,275,11,30,Entire home/apt,5/6/2018,0.2,1,,
4249342,*RARE FIND* SUPER X-LARGE Room w/ GYM & ROOFTOP,2495483,Lynn,,Ward E (councilmember James Solomon),40.70771,-74.00794,18,50,185,78,3,Private room,6/8/2022,0.65,2,,
4312169,"4. NEW YORK CITY, 15 MINUTES AWAY!!!",9315100,Hermann,,Ward D (councilmember Michael Yun),40.76996,-74.03097,32,343,114,278,3,Entire home/apt,6/7/2022,3.67,2,,
4410626,Spacious neo-country seaside loft,22893493,Nick,,Ward F (councilmember Jermaine D. Robinson),40.67893,-74.01718,33,134,369,163,2,Entire home/apt,5/26/2022,1.49,1,,
4455094,West Village Style and Charm-Vaccinated&Boostered,13541655,Michael,,Ward E (councilmember James Solomon),40.73098,-74.004822,61,278,145,28,2,Private room,6/4/2022,3.36,1,,
4507262,Luxurious Village 1 bed!,2282450,Philip,,Ward E (councilmember James Solomon),40.73559,-74.00314,7,43,225,90,30,Entire home/apt,5/24/2022,0.49,2,,
4531787,Studio at heart of Downtown JC.,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72502,-74.04846,8,17,73,183,29,Entire home/apt,6/5/2022,0.21,4,,
4546507,"Lux Hoboken 1 Bedroom w/wifi, minutes from NYC",9419684,Churchill,,Ward E (councilmember James Solomon),40.74047,-74.02761,1,5,392,365,15,Entire home/apt,3/9/2022,0.08,36,,
4582869,Historic Downtown Jersey City (Legal),15356305,Jennifer,,Ward E (councilmember James Solomon),40.7229,-74.04496,41,218,172,263,2,Entire home/apt,6/12/2022,2.37,1,,
4624521,"Financial District Oasis, Cozy Private Bedroom",9072771,Kindra,,Ward F (councilmember Jermaine D. Robinson),40.70461,-74.00946,1,9,179,146,12,Private room,10/31/2021,0.13,2,,
4709428,Urban Suite by New York,13637042,Ursula And Carlos,,Ward D (councilmember Michael Yun),40.762329,-74.029465,4,96,155,21,90,Entire home/apt,5/22/2022,1.11,1,,
4710131,"NYC 20 min. Away! SMALL, CLEAN & Private Area",24343271,HappyDay,,Ward D (councilmember Michael Yun),40.76938,-74.02925,25,196,67,93,4,Private room,6/1/2022,2.16,1,,
4881420,LARGE COZY STUDIO BEST LOCATION - PARADISIAC OASIS,25112856,Mio,,Ward E (councilmember James Solomon),40.74085,-74.00339,22,74,188,284,4,Entire home/apt,5/22/2022,0.88,1,,
4885569,Large & Gorgeous! Heart of Village,17056215,Yaniv And Vanessa,,Ward E (councilmember James Solomon),40.73053,-74.00097,5,45,296,38,30,Entire home/apt,6/14/2022,0.54,1,,
5006113,SOHO NEW YORK LUXURY LOFT MID-CENTURY MODERN,6095946,Fiona,,Ward E (councilmember James Solomon),40.72044,-74.00399,0,2,1130,284,21,Entire home/apt,3/17/2021,0.03,1,,
5146173,*Designer West Village Dream Home*,26606802,Christina,,Ward E (councilmember James Solomon),40.73292,-74.00621,0,12,594,165,28,Entire home/apt,10/23/2016,0.14,1,,
5192752,Clean Spacious 1 Bedroom Apartment in Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,0,12,359,318,27,Entire home/apt,12/5/2018,0.15,36,,
5193707,Private Jersey City 1 Bedroom Apartment near PATH,9419684,Churchill,,Ward E (councilmember James Solomon),40.72455,-74.03591,0,5,329,312,27,Entire home/apt,5/26/2019,0.06,36,,
5259407,2BR Prime West village~Sleeps 5,2119276,Eran,,Ward E (councilmember James Solomon),40.73205,-74.0064,0,3,250,261,30,Entire home/apt,12/23/2015,0.04,8,,
5298896,Unique NYC Loft - Guest Room,3868692,Lucas,,Ward F (councilmember Jermaine D. Robinson),40.70419,-74.01127,45,190,145,56,5,Private room,6/12/2022,2.75,1,,
5353612,Beautiful private suite-like 2FL apt. West Village,9350960,Victoria,,Ward E (councilmember James Solomon),40.73478,-74.00734,49,298,300,136,2,Entire home/apt,6/11/2022,4.03,1,,
5434150,Charming NYC Studio Loft near Soho & NYU!,27813383,O,,Ward E (councilmember James Solomon),40.72876,-74.00075,4,52,150,208,30,Entire home/apt,11/15/2021,0.6,1,,
5480321,Modern Zen Apartment,28419528,Mary,,Ward D (councilmember Michael Yun),40.76259,-74.02663,24,137,193,315,2,Entire home/apt,6/12/2022,1.65,1,,
5615699,Modern Townhouse private backyard walk to NYC Path,29107900,Lauranne And Craig,,Ward C (councilmember Richard Boggiano),40.7308,-74.06859,1,1,113,264,28,Entire home/apt,5/25/2022,1,1,,
5679938,Stunning Furnished Modern Studio,1303542,Frank,,Ward E (councilmember James Solomon),40.71081,-74.00762,0,3,150,106,120,Entire home/apt,10/6/2016,0.04,1,,
5697589,"385 ""NY"" Big modern room 5 min walk to Path/WIFI",6958867,Henry,,Ward E (councilmember James Solomon),40.72338,-74.04911,4,83,69,86,29,Private room,3/18/2022,0.95,29,,
5706875,Big room in Luxury House min to PATH NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72343,-74.04898,3,59,72,52,29,Private room,4/8/2022,0.67,28,,
5758802,Huge Modern room Downtown Jersey City/WIFI,6958867,Henry,,Ward E (councilmember James Solomon),40.72355,-74.04888,5,115,80,44,29,Private room,6/4/2022,1.34,29,,
5759911,Modern Clean room 5 min to PATH min to NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72181,-74.04862,3,85,62,39,29,Private room,5/26/2022,0.97,28,,
5772382,"385 ""SF"" Private room 5 min walk to Path/WIFI",6958867,Henry,,Ward E (councilmember James Solomon),40.72346,-74.05055,7,111,102,72,29,Private room,4/5/2022,1.28,29,,
5774113,Close to Manhattan,27563833,Spontaneously Living,,Ward D (councilmember Michael Yun),40.74727,-74.0493,18,48,55,155,5,Private room,3/12/2022,0.56,3,,
5778131,Cozy Artistic 1BR w/ Spectaclar Views,21318638,Aidah,,Ward F (councilmember Jermaine D. Robinson),40.72121,-74.0624,4,8,135,0,3,Entire home/apt,1/3/2022,0.1,1,,
5839268,Charming West Village Studio,16064632,Blakely,,Ward E (councilmember James Solomon),40.73482,-74.00628,1,1,200,59,30,Entire home/apt,7/31/2021,0.09,1,,
5851973,Furnished BED+Pvt BATH super close to NYC on train,30374905,Sam,,Ward E (councilmember James Solomon),40.72588,-74.03052,0,25,58,0,1,Private room,12/28/2017,0.35,1,,
5989369,Super nice clean and close to NYC,30560014,Moe,,Ward A (councilmember Denise Ridley),40.69664,-74.10257,0,24,150,257,1,Entire home/apt,10/22/2017,0.28,2,,
6028028,Private Hoboken 1BR | Full Kitchen & W/D | by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.74047,-74.02761,0,3,349,365,10,Entire home/apt,6/14/2021,0.11,42,,
6208836,Modern 1 bedroom garden apartment,26810850,Michael,,Ward D (councilmember Michael Yun),40.74918,-74.02945,3,78,150,155,5,Entire home/apt,2/8/2022,0.9,1,,
6364709,Bright Big 2BR 15 Minutes Time Square Upto 8 Guest,33164249,Kevin & David,,Ward D (councilmember Michael Yun),40.76372,-74.03472,65,366,96,296,3,Entire home/apt,5/28/2022,4.25,22,,
6591590,"CLOSE TO NEW YORK, AFFORDABLE STAY",34485198,Lilian,,Ward D (councilmember Michael Yun),40.75783,-74.04104,12,84,124,305,3,Entire home/apt,6/6/2022,0.98,2,,
6628558,10min Subway to Downtown Manhattan,34696958,Jie,,Ward B (councilmember Mira Prinz-Arey),40.72534,-74.07198,0,38,82,170,150,Entire home/apt,4/1/2020,0.44,1,,
6647114,“Cozy Corner”: Greenwich Village Sanctuary,3579116,Kristin,,Ward E (councilmember James Solomon),40.73135,-74.00371,0,73,150,12,3,Private room,3/14/2020,0.86,2,,
6661852,"Cozy, charming near NYC",34869848,Ross,,Ward F (councilmember Jermaine D. Robinson),40.71111,-74.06366,29,175,75,0,3,Entire home/apt,5/22/2022,2.05,1,,
